SITE_ID,SITE_NAME,URL,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,Latitude,Longitude,Elevation,IGBP,MAT,MAP
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
FR-LBr,Le Bray,http://sites.fluxdata.org/FR-LBr/,"Tier1,",Tier1: 1996,Tier1: 2008,44.7171,-0.7693,61,ENF,13.6,900
,,,Tier2,Tier2: 1996,Tier2: 2008,,,,,,
FR-Pue,Puechabon,http://sites.fluxdata.org/FR-Pue/,"Tier1,",Tier1: 2000,Tier1: 2014,43.7414,3.5958,270,EBF,13.5,883
,,,Tier2,Tier2: 2000,Tier2: 2014,,,,,,
GF-Guy,Guyaflux (French Guiana),http://sites.fluxdata.org/GF-Guy/,"Tier1,",Tier1: 2004,Tier1: 2014,5.2788,-52.9249,48,EBF,25.7,3041
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
GH-Ank,Ankasa,http://sites.fluxdata.org/GH-Ank/,Tier2,Tier2: 2011,Tier2: 2014,5.2685,-2.6942,124,EBF,26,1900
IT-BCi,Borgo Cioffi,http://sites.fluxdata.org/IT-BCi/,"Tier1,",Tier1: 2004,Tier1: 2014,40.5238,14.9574,20,CRO,18,600
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
IT-CA1,Castel d'Asso 1,http://sites.fluxdata.org/IT-CA1/,"Tier1,",Tier1: 2011,Tier1: 2014,42.3804,12.0266,200,DBF,14,766
,,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
IT-CA2,Castel d'Asso 2,http://sites.fluxdata.org/IT-CA2/,"Tier1,",Tier1: 2011,Tier1: 2014,42.3772,12.026,200,CRO,14,766
,,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
IT-CA3,Castel d'Asso 3,http://sites.fluxdata.org/IT-CA3/,"Tier1,",Tier1: 2011,Tier1: 2014,42.38,12.0222,197,DBF,14,766
,,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
IT-Col,Collelongo,http://sites.fluxdata.org/IT-Col/,"Tier1,",Tier1: 1996,Tier1: 2014,41.8494,13.5881,1560,DBF,6.3,1180
,,,Tier2,Tier2: 1996,Tier2: 2014,,,,,,
IT-Cp2,Castelporziano 2,http://sites.fluxdata.org/IT-Cp2/,"Tier1,",Tier1: 2012,Tier1: 2014,41.7043,12.3573,19,EBF,15.2,805
,,,Tier2,Tier2: 2012,Tier2: 2014,,,,,,
IT-Cpz,Castelporziano,http://sites.fluxdata.org/IT-Cpz/,"Tier1,",Tier1: 1997,Tier1: 2009,41.7052,12.3761,68,EBF,15.6,780
,,,Tier2,Tier2: 1997,Tier2: 2009,,,,,,
IT-Isp,Ispra ABC-IS,http://sites.fluxdata.org/IT-Isp/,"Tier1,",Tier1: 2013,Tier1: 2014,45.8126,8.6336,210,DBF,12.2,1300
,,,Tier2,Tier2: 2013,Tier2: 2014,,,,,,
