GRDC station number,WMO region,WMO subregion,nat_id,river,station,country,Latitude,Longitude,catchment size km2,height of gauge zero m above sea level,GRDC station number of next downstream GRDC station ,daily data available from year,daily data available until year,length of time series daily data,percentage of missing values (daily data),monthly data available from ,monthly data available until ,"length of time series, monthly data",percentage of missing values (monthly data),earliest data available,latest data available,"maximum length of time series, daily and monthly data","mean annual streamflow, m3/s","mean annual volume, km3","mean annual runoff depth, mm"
3631100,3,31,19150000,RIO JARI,SAO FRANCISCO,BR,-0.5678,-52.5692,51343,-999,-,1968,2010,43,1.45,1968,1999,32,3.71,1968,2010,43,1067.327,33.65922427,655.5757216
3631210,3,31,18300000,RIO PARU DE ESTE,FAZENDA PAQUIRA,BR,-0.4167,-53.7,30945,-999,-,1973,1989,17,0,1973,1989,17,0,1973,1989,17,480.697,15.15926059,489.8775438
3649950,3,49,29700000,TOCANTINS,TUCURUI,BR,-3.7578,-49.6533,742300,1.87,-,1978,2010,33,4.96,1978,1999,22,10.61,1978,2010,33,11126.32,350.8796275,472.6924795
3650150,3,50,31700000,RIO CAPIM,BADAJOS,BR,-2.5128,-47.7681,38178,-999,-,1971,2010,40,8.48,1971,1999,29,8.16,1971,2010,40,578.948,18.25770413,478.2257878
3650202,3,50,32620000,RIO GURUPI,ALTO BONITO,BR,-1.8006,-46.3161,31850,-999,-,1972,2010,39,4.28,1972,1986,15,3.57,1972,2010,39,464.402,14.64538147,459.8235941
3650285,3,50,33190000,RIO PINDARE,PINDARE-MIRIM,BR,-3.6611,-45.4583,34030,4,-,1972,2007,36,2.01,1972,1992,21,2.47,1972,2007,36,214.257,6.756808752,198.5544741
3650335,3,50,33290000,RIO MEARIM,BACABAL,BR,-4.2194,-44.7653,27650,9,-,1975,2007,33,2.05,1975,1992,18,0.5,1975,2007,33,106.722,3.365584992,121.7209762
3650359,3,50,33680000,RIO ITAPECURU,CANTANHEDE,BR,-3.6278,-44.3792,49500,15,-,1968,2007,40,3.3,1968,1999,32,5.54,1968,2007,40,240.886,7.596580896,153.4662807
3650481,3,50,34879500,RIO PARNAIBA,LUZILANDIA,BR,-3.4539,-42.37,322823,26,-,1982,2007,26,1.14,1982,1993,12,2.88,1982,2007,26,692.644,21.84322118,67.66315035
3650525,3,50,n.a.,RIO ACARAU,SOBRAL,BR,-3.68,-40.35,11160,-999,-,1911,1962,52,18.29,1911,1999,89,25.4,1911,1999,89,55.484,1.749743424,156.7870452
3650649,3,50,36390000,RIO JAGUARIBE,PEIXE GORDO,BR,-5.2275,-38.1978,48200,50,-,1961,2010,50,8.13,1961,1984,24,9.96,1961,2010,50,85.432,2.694183552,55.89592432
3650885,3,50,38895000,RIO PARAIBA,PONTE DA BATALHA,BR,-7.13,-35.0475,19244,18,-,1969,1997,29,6.41,1970,1997,28,10.12,1969,1997,29,28.46,0.89751456,46.63866972
3651900,3,51,49660001,SAO FRANCISCO,TRAIPU,BR,-9.9833,-36.9833,622520,40,-,,,,,1938,1999,62,8.14,1938,1999,62,2825.371,89.10089986,143.1293771
3652039,3,52,50595000,RIO ITAPICURU,USINA ALTAMIRA,BR,-11.7347,-37.8033,35150,17,-,1964,2010,47,11.27,1964,1979,16,11.54,1964,2010,47,26.711,0.842358096,23.96466845
3652050,3,52,50191000,RIO VAZA-BARRIS,FAZENDA BELEM,BR,-10.9431,-37.3469,15740,19,-,1971,2010,40,0.46,1971,1985,15,2.3,1971,2010,40,10.739,0.338665104,21.51620737
3652135,3,52,51490000,RIO PARAGUACU,PEDRA DO CAVALO,BR,-12.6,-38.9833,53866,50,-,1964,1978,15,1.37,1964,1978,15,6.67,1964,1978,15,122.803,3.872715408,71.895359
3652220,3,52,52410000,RIO DE CONTAS,JEQUIE,BR,-13.8667,-40.0833,42245,259,-,1934,1977,44,1.88,1934,1977,44,1.91,1934,1977,44,30.418,0.959262048,22.7071144
3652320,3,52,53950000,RIO PRADO,MASCOTE,BR,-15.5589,-39.3081,30360,4,-,1936,2010,75,4.7,1936,1979,44,5.34,1936,2010,75,74.531,2.350409616,77.41797154
3652455,3,52,54950000,RIO JEQUITINHONHA,ITAPEBI,BR,-15.9483,-39.5236,67769,-999,-,1936,2010,75,3.56,1936,1996,61,9.07,1936,2010,75,412.442,13.00677091,191.9280336
3652500,3,52,55700000,MUCURI,NANUQUE,BR,-17.8333,-40.35,14174,-999,-,1943,1980,38,5.54,1965,1999,35,0.48,1943,1999,57,109.287,3.446474832,243.1547081
3652600,3,52,56998000,RIO DOCE,LINHARES,BR,-19.4075,-40.0639,78456,-999,-,1967,1994,28,6,1967,1993,27,6.03,1967,1994,28,949.654,29.94828854,381.7208186
3652890,3,52,58974000,PARAIBA DO SUL,CAMPOS - PONTE MUNICIPAL,BR,-21.7533,-41.3003,55500,14,-,1934,2010,77,1.47,1928,1999,72,0.93,1928,2010,83,788.111,24.8538685,447.8174504
3653120,3,53,81350000,RIO RIBEIRA DO IGUAPE,IPORANGA (PCD),BR,-24.5858,-48.5917,12450,73,-,1941,2007,67,0.52,1938,1975,38,0,1938,2007,70,196.549,6.198369264,497.8609851
